日期,版本,事件Id,事件名称,消息数量,独立用户数
2023-03-16,null,canvas_doodle,创作涂鸦,19,17
2023-03-16,null,canvas_image_bw,黑白画,33,18
2023-03-16,null,canvas_image_print,版画,39,19
2023-03-16,null,rn_guide,新手引导,42,27
2023-03-16,null,canvas_text,创作文本,56,27
2023-03-16,null,canvas_image_dithering,抖动,65,25
2023-03-16,null,canvas_material,创作素材,70,30
2023-03-16,null,canvas_image,创作图片,71,26
2023-03-16,null,canvas_image_gcode,GCode,80,19
2023-03-16,null,user_register,用户注册,162,86
2023-03-16,null,canvas_shape,创作形状,179,37
2023-03-16,null,create,打开创作,314,74
2023-03-16,null,preview,预览,695,56
2023-03-16,null,engrave,雕刻,1038,43
2023-03-16,null,connect_device,连接设备,5769,663
2023-03-16,null,search_device,搜索设备,8749,686
2023-03-17,null,rn_publish,发帖,2,2
2023-03-17,null,rn_share,分享,3,2
2023-03-17,null,mm_unit,毫米单位,4,2
2023-03-17,null,inch_unit,公制单位,7,4
2023-03-17,null,smart_assistant,智能指南,9,6
2023-03-17,null,canvas_image_seal,印章,12,7
2023-03-17,null,rn_help,帮助,14,12
2023-03-17,null,rn_course,新手教程,19,12
2023-03-17,null,rn_faq,FAQ,20,15
2023-03-17,null,canvas_doodle,创作涂鸦,21,13
2023-03-17,null,rn_guide,新手引导,34,25
2023-03-17,null,canvas_material,创作素材,39,19
2023-03-17,null,canvas_text,创作文本,44,21
2023-03-17,null,canvas_image_print,版画,67,17
2023-03-17,null,canvas_image_bw,黑白画,69,18
2023-03-17,null,canvas_image_gcode,GCode,75,20
2023-03-17,null,canvas_image,创作图片,82,30
2023-03-17,null,canvas_image_dithering,抖动,84,21
2023-03-17,null,canvas_shape,创作形状,99,20
2023-03-17,null,user_register,用户注册,158,79
2023-03-17,null,create,打开创作,338,73
2023-03-17,null,preview,预览,759,47
2023-03-17,null,engrave,雕刻,867,35
2023-03-17,null,connect_device,连接设备,5429,668
2023-03-17,null,search_device,搜索设备,8000,711
2023-03-18,null,rn_share,分享,1,1
2023-03-18,null,mm_unit,毫米单位,2,2
2023-03-18,null,inch_unit,公制单位,2,2
2023-03-18,null,smart_assistant,智能指南,6,3
2023-03-18,null,canvas_image_seal,印章,14,5
2023-03-18,null,rn_faq,FAQ,15,10
2023-03-18,null,rn_help,帮助,18,9
2023-03-18,null,rn_guide,新手引导,20,17
2023-03-18,null,canvas_doodle,创作涂鸦,21,14
2023-03-18,null,canvas_image_bw,黑白画,23,14
2023-03-18,null,canvas_image_print,版画,27,15
2023-03-18,null,rn_course,新手教程,32,15
2023-03-18,null,canvas_image_gcode,GCode,38,15
2023-03-18,null,canvas_material,创作素材,43,16
2023-03-18,null,canvas_text,创作文本,46,18
2023-03-18,null,canvas_image_dithering,抖动,60,20
2023-03-18,null,canvas_image,创作图片,65,20
2023-03-18,null,canvas_shape,创作形状,66,23
2023-03-18,null,user_register,用户注册,108,56
2023-03-18,null,create,打开创作,215,49
2023-03-18,null,preview,预览,323,38
2023-03-18,null,engrave,雕刻,501,28
2023-03-18,null,connect_device,连接设备,4739,581
2023-03-18,null,search_device,搜索设备,7301,603
2023-03-19,null,rn_share,分享,1,1
2023-03-19,null,mm_unit,毫米单位,1,1
2023-03-19,null,inch_unit,公制单位,1,1
2023-03-19,null,canvas_image_seal,印章,5,4
2023-03-19,null,smart_assistant,智能指南,5,3
2023-03-19,null,rn_help,帮助,11,9
2023-03-19,null,rn_faq,FAQ,16,14
2023-03-19,null,rn_course,新手教程,17,9
2023-03-19,null,canvas_doodle,创作涂鸦,20,14
2023-03-19,null,canvas_image_bw,黑白画,21,12
2023-03-19,null,canvas_image_gcode,GCode,21,9
2023-03-19,null,canvas_image_print,版画,23,8
2023-03-19,null,canvas_material,创作素材,26,15
2023-03-19,null,canvas_image_dithering,抖动,34,16
2023-03-19,null,canvas_text,创作文本,37,15
2023-03-19,null,rn_guide,新手引导,38,23
2023-03-19,null,canvas_image,创作图片,47,19
2023-03-19,null,canvas_shape,创作形状,74,16
2023-03-19,null,user_register,用户注册,109,55
2023-03-19,null,create,打开创作,150,48
